dest	genome	rlen	fc	pe	scenario	libs	simulation
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/3libsPerGroup/simulation-1	mm39	100	1	TRUE	unbalanced	3	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/3libsPerGroup/simulation-2	mm39	100	1	TRUE	unbalanced	3	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/3libsPerGroup/simulation-3	mm39	100	1	TRUE	unbalanced	3	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/3libsPerGroup/simulation-4	mm39	100	1	TRUE	unbalanced	3	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/3libsPerGroup/simulation-5	mm39	100	1	TRUE	unbalanced	3	5
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-1	mm39	100	1	TRUE	unbalanced	5	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-2	mm39	100	1	TRUE	unbalanced	5	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-3	mm39	100	1	TRUE	unbalanced	5	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-4	mm39	100	1	TRUE	unbalanced	5	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-5	mm39	100	1	TRUE	unbalanced	5	5
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-1	mm39	100	1	TRUE	unbalanced	10	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-2	mm39	100	1	TRUE	unbalanced	10	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-3	mm39	100	1	TRUE	unbalanced	10	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-4	mm39	100	1	TRUE	unbalanced	10	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-5	mm39	100	1	TRUE	unbalanced	10	5
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	3	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	3	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	3	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	3	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	3	5
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	5	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	5	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	5	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	5	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	5	5
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	10	1
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	10	2
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	10	3
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	10	4
../../output/simulation-no-trend-bandits/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	10	5
